alph-0.0
problem-idx,trial,timeout,success,elapsed(s),length,reward
1,18,0,0,0.051802873611450195,0,0
1,19,0,0,0.05192995071411133,0,0
1,20,0,0,0.05171799659729004,0,0
1,21,0,0,0.05180191993713379,0,0
1,22,0,0,0.05161237716674805,0,0
1,23,0,0,0.05179452896118164,0,0
1,24,0,0,0.05243849754333496,0,0
1,25,0,0,0.05183053016662598,0,0
1,26,0,0,0.0523991584777832,0,0
1,27,0,0,0.05186939239501953,0,0
1,28,0,0,0.05161571502685547,0,0
1,29,0,0,0.05209803581237793,0,0
2,0,0,0,0.05628800392150879,0,0
2,1,0,0,0.05625295639038086,0,0
2,2,0,0,0.056052446365356445,0,0
2,3,0,0,0.05590224266052246,0,0
2,4,0,0,0.0560612678527832,0,0
2,5,0,0,0.05603289604187012,0,0
2,6,0,0,0.05652880668640137,0,0
2,7,0,0,0.05588078498840332,0,0
2,8,0,0,0.055867910385131836,0,0
2,9,0,0,0.05591106414794922,0,0
2,10,0,0,0.05604147911071777,0,0
2,11,0,0,0.055410146713256836,0,0
2,12,0,0,0.056314706802368164,0,0
2,13,0,0,0.055606842041015625,0,0
2,14,0,0,0.05583930015563965,0,0
2,15,0,0,0.05594897270202637,0,0
2,16,0,0,0.05592608451843262,0,0
2,17,0,0,0.05621695518493652,0,0
2,18,0,0,0.056597232818603516,0,0
2,19,0,0,0.056517601013183594,0,0
2,20,0,0,0.0563507080078125,0,0
2,21,0,0,0.0559992790222168,0,0
2,22,0,0,0.056473493576049805,0,0
2,23,0,0,0.05629587173461914,0,0
2,24,0,0,0.05630207061767578,0,0
2,25,0,0,0.055800676345825195,0,0
2,26,0,0,0.05602908134460449,0,0
2,27,0,0,0.05612826347351074,0,0
2,28,0,0,0.056195974349975586,0,0
2,29,0,0,0.055982351303100586,0,0
3,0,0,0,0.05626726150512695,0,0
3,1,0,0,0.05634903907775879,0,0
3,2,0,0,0.05679583549499512,0,0
3,3,0,0,0.056380271911621094,0,0
3,4,0,0,0.05572366714477539,0,0
3,5,0,0,0.05662417411804199,0,0
3,6,0,0,0.05653262138366699,0,0
3,7,0,0,0.05649280548095703,0,0
3,8,0,0,0.05619168281555176,0,0
3,9,0,0,0.05587267875671387,0,0
3,10,0,0,0.05617117881774902,0,0
3,11,0,0,0.05615806579589844,0,0
3,12,0,0,0.05621337890625,0,0
3,13,0,0,0.05582761764526367,0,0
3,14,0,0,0.05554986000061035,0,0
3,15,0,0,0.05615043640136719,0,0
3,16,0,0,0.056014299392700195,0,0
3,17,0,0,0.055739402770996094,0,0
3,18,0,0,0.05563211441040039,0,0
3,19,0,0,0.056252479553222656,0,0
3,20,0,0,0.05675506591796875,0,0
3,21,0,0,0.05567455291748047,0,0
3,22,0,0,0.05686450004577637,0,0
