alph-0.0
problem-idx,trial,timeout,success,elapsed(s),length,reward
6,13,0,0,0.1635603904724121,2,-2
6,14,0,0,0.16364026069641113,1,-1
6,15,0,0,0.16303706169128418,2,-2
6,16,0,0,0.16533946990966797,2,-2
6,17,0,0,0.16483092308044434,1,-1
6,18,0,0,0.16515564918518066,4,-4
6,19,0,0,0.16379976272583008,2,-2
6,20,0,0,0.16315841674804688,1,-1
6,21,0,0,0.16649150848388672,2,-2
6,22,0,0,0.16645264625549316,1,-1
6,23,0,0,0.16503381729125977,5,-5
6,24,0,0,0.16358256340026855,1,-1
6,25,0,0,0.16391468048095703,1,-1
6,26,0,0,0.16350245475769043,1,-1
6,27,0,0,0.16396427154541016,1,-1
6,28,0,0,0.16431713104248047,1,-1
6,29,0,0,0.164656400680542,3,-3
7,0,0,0,0.18946480751037598,1,-1
7,1,0,0,0.19561004638671875,1,-1
7,2,0,0,0.19163775444030762,1,-1
7,3,0,0,0.1900804042816162,1,-1
7,4,0,0,0.18889999389648438,1,-1
7,5,0,0,0.18902325630187988,1,-1
7,6,0,0,0.1890249252319336,2,-2
7,7,0,0,0.1908407211303711,1,-1
7,8,0,0,0.19029808044433594,1,-1
7,9,0,0,0.1900031566619873,1,-1
7,10,0,0,0.19498443603515625,3,-3
7,11,0,0,0.19445347785949707,2,-2
7,12,0,0,0.19721603393554688,9,-9
7,13,0,0,0.18969345092773438,2,-2
7,14,0,0,0.19041061401367188,2,-2
7,15,0,0,0.19324922561645508,4,-4
7,16,0,0,0.19066381454467773,2,-2
7,17,0,0,0.19267892837524414,3,-3
7,18,0,0,0.19028568267822266,2,-2
7,19,0,0,0.19429802894592285,1,-1
7,20,0,0,0.18875670433044434,1,-1
7,21,0,0,0.18941998481750488,1,-1
7,22,0,0,0.19039487838745117,1,-1
7,23,0,0,0.18938660621643066,1,-1
7,24,0,0,0.19025301933288574,1,-1
7,25,0,0,0.18813681602478027,1,-1
7,26,0,0,0.19741582870483398,3,-3
7,27,0,0,0.19322776794433594,5,-5
7,28,0,0,0.19126558303833008,3,-3
7,29,0,0,0.19292974472045898,2,-2
8,0,0,0,0.21799087524414062,1,-1
8,1,0,0,0.21947789192199707,1,-1
8,2,0,1,0.1575925350189209,18,82
8,3,0,0,0.21866893768310547,1,-1
8,4,0,0,0.21920275688171387,2,-2
8,5,0,0,0.21993112564086914,1,-1
8,6,0,0,0.2211470603942871,3,-3
8,7,0,0,0.2206559181213379,1,-1
8,8,0,0,0.22030925750732422,4,-4
8,9,0,0,0.21827077865600586,1,-1
8,10,0,0,0.22361373901367188,6,-6
8,11,0,0,0.22107720375061035,4,-4
8,12,0,0,0.2264571189880371,4,-4
8,13,0,0,0.22263407707214355,8,-8
8,14,0,0,0.2201242446899414,1,-1
8,15,0,0,0.22000694274902344,1,-1
8,16,0,0,0.2218012809753418,5,-5
8,17,0,0,0.2227950096130371,2,-2
8,18,0,0,0.2202911376953125,1,-1
8,19,0,0,0.22459030151367188,3,-3
8,20,0,0,0.2195274829864502,1,-1
8,21,0,0,0.2208082675933838,1,-1
8,22,0,0,0.2192676067352295,3,-3
8,23,0,0,0.2197721004486084,1,-1
8,24,0,0,0.2248222827911377,7,-7
8,25,0,0,0.22242379188537598,2,-2
8,26,0,0,0.22350335121154785,1,-1
8,27,0,0,0.22182536125183105,2,-2
8,28,0,0,0.221405029296875,2,-2
